Person,Chapters,Subject,birth_year,death_year,birth_place,nationality,primary_field,bio_one_sentence,nobel_prize_year,nobel_prize_category
Mac,27,Quote (Fictional character from It's Always Sunny),1977,living,"Philadelphia, Pennsylvania, USA",American (Fictional),Fictional Character / Bar Owner,"Self-appointed head of security at Paddy's Pub from \emph{It's Always Sunny in Philadelphia} who struggles with his sexuality, Catholic faith, and desperate need for his father's approval.",,
Mahito Kohmoto,11,Coauthor on TKNN invariant for quantum Hall systems | Topological nature of Quantum Hall Effect,1954,living,Japan,Japanese,Theoretical Condensed Matter Physics,"Japanese theoretical physicist who co-derived the TKNN invariant, revealing the topological nature of the integer quantum Hall effect.",,
Maimonides,43,Harmonized creation and Aristotelian philosophy | Creation ex nihilo | Codified Jewish law | discussed calendar/belief,c. 1138,1204,"Cordoba, Almoravid Empire (modern-day Spain)",Sephardic Jewish,"Theology, Philosophy, and Jurisprudence",Medieval Jewish philosopher and jurist who codified Jewish law in the \emph{Mishneh Torah} and synthesized Aristotelian philosophy with the Torah.,,
Malachi,16,Biblical quote,unknown,unknown,Judah (Persian Yehud),Judean,Biblical Prophecy,Hebrew prophet who is the attributed author of the \emph{Book of Malachi} and the final prophet of the Hebrew Bible.,,
Malcolm Brown,38,Historian of Christmas Truce,1930,2017,United Kingdom,British,Military History,British historian who co-authored the definitive book 'Christmas Truce: The Western Front December 1914' with Shirley Seaton.,,
Marc H. Goroff,36,Showed non-renormalizable divergences in gravity,unknown,living,unknown,American,Theoretical Physics / Computer Science,American physicist who proved with Augusto Sagnotti that pure Einstein gravity is not renormalizable at the two-loop level.,,
Marianna Safronova,32,Analyzed atomic clocks as probes of new physics | New physics with clocks | Proponent of nuclear clocks for fundamental physics,unknown,living,unknown,American,"Theoretical Atomic, Molecular, and Optical Physics",American theoretical physicist who develops high-precision atomic clocks to search for dark matter and variations in fundamental constants.,,
Marjorie Rice,29,Pentagonal tilings | Amateur mathematician | found pentagon tilings,1923,2017,"St. Petersburg, Florida, USA",American,Mathematics (Geometry),American amateur mathematician who discovered four new families of convex pentagons that tile the plane using her own notation.,,
Mark Corrigan,09,Quote (Fictional character from Peep Show),Fictional,Fictional,"Croydon, London (Fictional setting)",British (Fictional),FICTIONAL CHARACTER (Fictional Character),Socially anxious loan manager from \emph{Peep Show} whose cynical internal monologues and dysfunctional friendship with Jeremy define the British sitcom's dark comedy.,,
Mark Satterthwaite,09,Co-proved Gibbard–Satterthwaite impossibility | Voting manipulation theorems,unknown,living,United States,American,Economics / Social Choice Theory,"American economist who independently proved the Gibbard-Satterthwaite theorem, establishing that non-dictatorial voting systems are susceptible to strategic manipulation.",,
Mark Twain,13,Quote on truth vs fiction,1835,1910,"Florida, Missouri, USA",American,Literature,"American author who wrote \emph{The Adventures of Tom Sawyer} and \emph{Adventures of Huckleberry Finn}, utilizing vernacular speech to critique society.",,
"Markus ""Notch"" Persson",22,Created Minecraft and original entity models,1979,living,"Stockholm, Sweden",Swedish,Video Game Development,Swedish programmer known as ``Notch'' who created \emph{Minecraft} and sold it to Microsoft for \$2.5 billion.,,
Martin Gardner,15,Popularized envelope/wallet paradox in recreational math | Wallet game / Aha! Gotcha,1914,2010,"Tulsa, Oklahoma, USA",American,Recreational Mathematics / Science Writing,American writer who popularized recreational mathematics through his ``Mathematical Games'' column in \emph{Scientific American} from 1956 to 1981.,,
"Martin H. M\""{u}ser",42,Molecular dynamics simulations of ice friction and amorphization,unknown,living,Germany,German,Computational Materials Science,"German computational physicist and professor at Saarland University who researches tribology and contact mechanics across scales, and co-authored simulations revealing cold displacement-driven amorphization as the dominant ice lubrication mechanism.",,
Martin Kamen,35,Co-discovered O source in photosynthesis using isotopes | Oxygen isotope experiments | Co-discovered C-14 | isotope tracer work,1913,2002,"Toronto, Canada",American,Nuclear Chemistry / Biochemistry,"American chemist who co-discovered the radioactive isotope Carbon-14, which became an essential tool for radiocarbon dating.",,
Martin Silenus,20,Quote (Fictional character from Hyperion Cantos),N/A (Fictional),N/A (Fictional),Old Earth (In-universe setting),Fictional Character,FICTIONAL CHARACTER (Literary Character / Poet (In-universe)),"Fictional character from the \emph{Hyperion Cantos} series by Dan Simmons, first appearing in the 1989 novel \emph{Hyperion}.",,
Masahiro Sakurai,22,Wavedashing comment,1970,living,"Musashimurayama, Tokyo, Japan",Japanese,Video Game Design and Direction,Japanese video game director best known for creating the \emph{Kirby} and \emph{Super Smash Bros.} franchises.,,
Matthew Kleban,34,Coauthored work on cosmological constant implications | Boltzmann Brains in de Sitter space | Discussed Boltzmann brains in de Sitter space,unknown,living,unknown,American,Theoretical Physics / Cosmology,"American physicist who investigates observable implications of the multiverse, particularly cosmic bubble collisions in the Cosmic Microwave Background.",,
Matthew Sands,04,Coauthor of Feynman Lectures on Physics,1920,2014,"Oxford, Massachusetts, USA",American,Physics / Physics Education,American physicist who served as a co-author of \emph{The Feynman Lectures on Physics} with Richard Feynman and Robert Leighton.,,
Matthieu Rosenfeld,09,Proved Lonely Runner Conjecture for eight and nine runners,unknown,living,"Montpellier, France",French,Mathematics (Combinatorics),"French mathematician and assistant professor at LIRMM, Universit\'{e} de Montpellier, who specializes in combinatorics on words and computer-assisted proofs, and proved the Lonely Runner Conjecture for eight and nine runners.",,
Maurice Kraitchik,15,Early envelope-style paradox in recreational mathematics | Early recreational mathematics (contextual naming reuse) | Origins of envelope/necktie paradox,1882,1957,"Minsk, Russian Empire (now Belarus)",Belgian,Recreational Mathematics / Number Theory,"Russian-born Belgian mathematician who formulated the ``Wallet Paradox'' in \emph{La Math\'ematique des Jeux}, a precursor to the Two Envelopes Problem.",,
Max Planck,36 | 27,Formulated blackbody radiation law | Originator of quantum hypothesis,1858,1947,"Kiel, Duchy of Holstein (now Germany)",German,Theoretical Physics,German theoretical physicist who won the Nobel Prize for discovering energy quanta and laying the groundwork for quantum mechanics.,1918,Physics
Max Tegmark,24,Analyzed viable combinations of space and time dimensions | Spacetime dimensionality constraints | Classified physical laws by dimensionality,1967,living,"Stockholm, Sweden",Swedish-American,Physics and Cosmology,Swedish-American physicist who proposed the ``Mathematical Universe Hypothesis'' positing that the physical universe is a mathematical structure.,,
Max Zorn,07,Zorn's Lemma,1906,1993,"Krefeld, Germany",German-American,Mathematics,"German-American mathematician who formulated Zorn's Lemma, a principle equivalent to the Axiom of Choice and essential for non-constructive proofs.",,
Maxim Markevitch,37,Analyzed Bullet Cluster X-ray gas distribution,unknown,living,unknown (likely Russia/USSR),Russian / American,Astrophysics (X-ray Astronomy),Russian-American astrophysicist who provided direct evidence for dark matter by analyzing the ``Bullet Cluster'' with \emph{Chandra}.,,
Michael Atiyah,07,Quote on algebra vs geometry,1929,2019,"London, United Kingdom",British,Mathematics,British mathematician who unified topology and analysis through the development of topological K-theory and the Atiyah--Singer index theorem.,,
Michael D. Perlman,30,Coauthored frequency study of Simpson’s paradox,unknown,living,unknown,American,Mathematical Statistics,"American statistician who specializes in theoretical multivariate analysis, focusing on Wishart matrices, probability inequalities, and order-restricted inference.",,
Michael Faraday,04 | 42,Field lines and electromagnetic induction | Proposed early ideas of surface melting on ice | Concept of lines of force / fields | Regelation / Liquid layer on ice,1791,1867,"Newington Butts, England",British,Physics and Chemistry,"British scientist who discovered electromagnetic induction and the laws of electrolysis, establishing the foundations of classical electromagnetism and electrochemistry.",,
Michael Hobson,02,Coauthor of GR textbook for physicists | Lasenby,1967,living,unknown,British,Astrophysics and Cosmology,British astrophysicist who researches theoretical cosmology and co-authored the textbook \emph{Mathematical Methods for Physics and Engineering}.,,
Michael Hunkapiller,,Advanced automated Sanger sequencing,1948,living,"Oklahoma, USA",American,Biotechnology / Genomics,"American biotechnologist who engineered the first automated fluorescent DNA sequencers, instruments that significantly accelerated the Human Genome Project.",,
M. Peter Nightingale,11,Coauthor on TKNN topological analysis | Topological nature of Quantum Hall Effect,unknown,living,unknown,Dutch / American,Theoretical Condensed Matter Physics,Theoretical physicist who developed the Phenomenological Renormalization Group and co-authored the seminal TKNN paper.,,
Michael van Ginkel,41,Explored relationship between Radon and Hough transforms,unknown,living,unknown,Dutch (inferred from academic affiliation),Computer Vision / Image Analysis,Dutch quantitative imaging researcher who proved the mathematical equivalence between the Hough transform and the Radon transform.,,
Michel Balinski,09,Applied algebraic methods to voting theory | Geometry of voting,1933,2019,"Geneva, Switzerland",American-French,Applied Mathematics / Operations Research,American mathematician and economist who advanced linear programming by proving that the graph of a convex $d$-dimensional polytope is $d$-connected.,,
Mikhail Gromov,24,4=2+2 identity / Manifolds | Geometric insights on 4D uniqueness,1943,living,"Boksitogorsk, Russia (Soviet Union)",Russian / French,Mathematics (Geometry),Russian-French mathematician who revolutionized geometry by introducing pseudoholomorphic curves and defining the concept of hyperbolic groups.,,
Miki Imura,29,Spiral monotile,unknown,living,Japan,Japanese,Computer Science / Virtual Reality,"A independent Japanese designer and researcher who explores mathematical tilings, especially the Modulo Krinkle family of non-periodic tilings.",,
Mitchell Feigenbaum,48,Identified universality in period-doubling route to chaos | Feigenbaum constants | Universality in chaos (period doubling),1944,2019,"Philadelphia, Pennsylvania, USA",American,Mathematical Physics,American mathematical physicist who discovered universality in non-linear systems and calculated the Feigenbaum constants central to chaos theory.,,
Modris Eksteins,38,Historian connecting truce to modern culture,1943,living,"Riga, Latvia",Canadian,Cultural History,Latvian-born Canadian historian who analyzed the cultural origins and impact of World War I in \emph{Rites of Spring}.,,
Monika Bradač,37,Coauthored Bullet Cluster dark matter map,unknown,living,"Maribor, Slovenia",Slovenian,Astrophysics,"Slovenian astrophysicist who led the mapping of dark matter in the Bullet Cluster, providing empirical evidence for particulate dark matter.",,
Moses,26,Biblical lawgiver | source of calendar authority chain | Tradition chain,c. 14th–13th Century BCE,c. 13th Century BCE,"Goshen, Ancient Egypt (Biblical narrative)",Israelite (Tribe of Levi),Religious Leadership / Law,Hebrew prophet and central figure of the \emph{Torah} who led the Exodus and received the Ten Commandments.,,
Muhammad Ali,35,Quote (Deer crossing road),1942,2016,"Louisville, Kentucky, USA",American,Professional Boxing / Activism,American heavyweight boxer and civil rights activist who became the first three-time world heavyweight champion and refused U.S. Army induction.,,
N. David Birrell,47,Coauthored text on QFT in curved spacetime,unknown,unknown,unknown,British / Australian (Academic affiliation),Theoretical Physics,British theoretical physicist who co-authored the influential monograph \emph{Quantum Fields in Curved Space} with Paul Davies in 1982.,,
Nathan Keller,12,Coauthor of GSM ciphertext-only cryptanalysis | Cryptanalysis of GSM,1981,living,Russia (USSR),Israeli,Cryptography and Combinatorics,Israeli mathematician and cryptographer who co-demonstrated an instant ciphertext-only cryptanalysis of the GSM encryption algorithms A5/1 and A5/2.,,
Neil Turok,34,Cyclic universe model | Proposed cyclic universe model,1958,living,"Johannesburg, South Africa",South African,Theoretical Physics,South African theoretical physicist who co-developed the cyclic model with Paul Steinhardt and founded the African Institute for Mathematical Sciences.,,
Nicolaas de Bruijn,40,De Bruijn graphs | Graph theory applied to sequence assembly,1918,2012,"The Hague, Netherlands",Dutch,Mathematics and Logic,"Dutch mathematician who developed Automath, the first computer language for checking proofs, and discovered De Bruijn sequences.",,
Nicomo Cosca,38,Quote (Fictional character from First Law),Fictional,Fictional,Styria (Fictional setting),Fictional character,FICTIONAL CHARACTER (Literature / Fantasy Character),"Charismatic mercenary captain from Joe Abercrombie's \emph{First Law} series who leads the Thousand Swords with wit, treachery, and inebriation.",,
Niels Bohr,15,Quote on paradoxes,1885,1962,"Copenhagen, Denmark",Danish,Theoretical Physics,"Danish physicist who developed the Bohr model of the atom, positing that electrons orbit the nucleus at discrete energy levels.",1922,Physics
Nittai of Arbel,26,One of the Zugot | Av Beit Din,unknown,unknown,"Arbel, Galilee (Judea)",Judean,Religious Law (Halakhah),Jewish sage and \emph{Av Beit Din} of the Sanhedrin who advised distancing oneself from bad neighbors in \emph{Pirkei Avot}.,,
Norman Ramsey,32 | 28,Analyzed negative temperatures in spin systems | Invented Ramsey interrogation for atomic clocks | Thermodynamics of negative temperatures,1915,2011,"Washington, D.C., USA",American,Physics,"American physicist who invented the separated oscillatory fields method, which forms the basis of modern atomic clocks.",1989,Physics
Oliver Heaviside,04 | 39,Simplified Maxwell’s equations | transmission line theory | Vector calculus formulation of Maxwell's equations | Quote on understanding,1850,1925,"London, United Kingdom",British,Electrical Engineering / Mathematics,English mathematician and physicist who reformulated Maxwell's field equations into vector calculus and established transmission line theory.,,
Osamu Shimomura,,Discovered GFP | work on bioluminescence chemistry,1928,2018,"Fukuchiyama, Kyoto, Japan",Japanese,Organic Chemistry / Marine Biology,"Japanese organic chemist and marine biologist who discovered and isolated Green Fluorescent Protein, sharing the 2008 Nobel Prize in Chemistry.",2008,Chemistry
Oswald Veblen,17,Veblen hierarchy,1880,1960,"Decorah, Iowa, USA",American,Mathematics (Geometry and Topology),American mathematician who co-formulated the Veblen-Young axioms and played a definitive role in founding the Institute for Advanced Study.,,
Patricia Churchland,20,Advocated eliminative materialism about folk psychology | Eliminative materialism,1943,living,"Oliver, British Columbia, Canada",Canadian-American,Philosophy of Neuroscience / Neurophilosophy,Canadian-American philosopher and founder of neurophilosophy who advocates for eliminative materialism and the replacement of ``folk psychology'' with neuroscience.,,
Paul C. W. Davies,47,Showed thermal perception of accelerated observers | Quantum fields in curved space | Work on quantum fields in curved space | Cofounder of observer-dependent vacuum analysis,1946,living,"London, United Kingdom",British,Theoretical Physics and Cosmology,British theoretical physicist and cosmologist who co-discovered the Fulling-Davies-Unruh effect and defined the Bunch-Davies vacuum state.,,
Paul Churchland,20,Co-developed eliminative materialism in philosophy of mind | Eliminative materialism,1942,living,"Vancouver, Canada",Canadian,Philosophy of Mind / Neurophilosophy,"Canadian philosopher who advocates for eliminative materialism, arguing that ``folk psychology'' will be replaced by neuroscience.",,
Paul Cohen,03,Proved independence of the Axiom of Choice from ZF | Independence of Axiom of Choice,1934,2007,"Long Branch, New Jersey, USA",American,Mathematics,American mathematician who invented ``forcing'' in 1963 to prove the independence of the Continuum Hypothesis and the Axiom of Choice.,,
Paul Dirac,01|36,Unified quantum mechanics and special relativity for electrons | Dirac equation application to atomic orbitals,1902,1984,"Bristol, England",British,Theoretical Physics,"British theoretical physicist who formulated the Dirac equation, reconciling quantum mechanics with special relativity and predicting antimatter.",1933,Physics
Paul Drude,04,Kinetic theory of conduction (Drude model),1863,1906,"Braunschweig, Germany",German,Physics,"German physicist who developed the Drude model, applying kinetic theory to electrons to explain electrical and thermal conductivity.",,
Paul Ehrenfest,24,Analyzed dimensional constraints and orbit stability | Stability of orbits in 3D | Argued for dimensionality from orbital stability,1880,1933,"Vienna, Austria-Hungary",Austrian / Dutch,Theoretical Physics,Austrian theoretical physicist who bridged classical and quantum mechanics through the Ehrenfest theorem and the theory of adiabatic invariants.,,
Paul Erdős,08 | 09,Prime gap lower bounds | Mentioned regarding Erdős number,1913,1996,"Budapest, Hungary (then Austria-Hungary)",Hungarian,"Mathematics (Number Theory, Combinatorics, Graph Theory)","Hungarian mathematician who developed the probabilistic method in combinatorics and published approximately 1,500 papers with over 500 collaborators.",,
Paul Gordan,03,Quote protesting Hilbert's non-constructive proofs,1837,1912,"Breslau, Prussia (now Wrocław, Poland)",German,Mathematics (Invariant Theory),German mathematician known as the ``King of Invariants'' who proved the finite basis theorem for binary forms.,,
Paul Kocher,18,Pioneered timing attacks on cryptographic algorithms | Lead author on Spectre attacks | Timing attacks,1973,living,United States,American,Cryptography / Computer Security,American cryptographer who established the field of side-channel cryptanalysis and played a central role in discovering the Spectre vulnerability.,,
Paul Sonnino,44,Modern historian arguing for Dauger identification,1930,living,unknown,American,History (Early Modern France),American historian specializing in Louis XIV who identified the ``Man in the Iron Mask'' as the valet Eustache Dauger.,,
Paul Steinhardt,34,Cyclic universe model | Proposed cyclic universe model,1952,living,"Washington, D.C., USA",American,Theoretical Physics and Cosmology,American theoretical physicist who introduced the concept of quasicrystals and co-proposed the cyclic model of the universe.,,
Paul V. C. Hough,41,Hough Transform patent | Invented Hough transform for bubble chambers,1928,unknown,"Detroit, Michigan, USA",American,Physics (Instrumentation),"American physicist who invented the Hough transform in 1962, a feature extraction technique fundamental to computer vision.",,
"Pavlo ""Pasha"" Mazur",49,Collaborated on pronuclear transfer infertility treatments,unknown,living,Ukraine,Ukrainian,Clinical Embryology / Reproductive Medicine,Ukrainian clinical embryologist who achieved the first live birth using pronuclear transfer to treat infertility caused by embryo arrest in 2017.,,
Pekka Pyykkö,01,Developed modern relativistic quantum chemistry of heavy elements | Relativistic effects in gold and mercury,1941,living,"Hinnerjoki, Finland",Finnish,Theoretical Chemistry,Finnish physical chemist who demonstrated that relativistic effects determine the yellow color of gold and liquid state of mercury.,,
Peter Debye,04 | 31,Developed mechanical model of osmotic pressure | Phonons and lattice dynamics | Mechanical model of osmosis | Mechanical theory of osmosis,1884,1966,"Maastricht, Netherlands",Dutch-American,Physical Chemistry and Physics,Dutch-American physicist and chemist who received the 1936 Nobel Prize for studies on molecular structure and dipole moments.,1936,Chemistry
Peter Hart,41,Co-formalized digital Hough transform | Hough Transform formalization | Generalized Hough transform,1941,living,"Brooklyn, New York, USA",American,Computer Science (Artificial Intelligence),"American computer scientist who co-invented the A* search algorithm, formalized the Hough transform, and co-authored \emph{Pattern Classification and Scene Analysis}.",,
Peter J. Bickel,30,Coauthored Berkeley admissions study | Berkeley admissions analysis | Analyzed Berkeley admissions bias data | Berkeley admissions analysis,1940,living,"Bucharest, Romania",American,Statistics,American statistician who contributed to the theory of semiparametric models and co-authored the definitive example of Simpson's Paradox.,,
Pierre Nora,38,Theorist of lieux de mémoire,1931,living,"Paris, France",French,History and Publishing,French historian and publisher who developed the concept of \emph{lieux de m\'emoire} and directed the project \emph{Les Lieux de m\'emoire}.,,
Pierre-Simon Laplace,48,Laplacian determinism | Determinist view of the universe,1749,1827,"Beaumont-en-Auge, France",French,Mathematics and Astronomy,French mathematician and astronomer who rigorously demonstrated the long-term stability of the solar system in \emph{M\'ecanique C\'eleste}.,,
Rabban Gamliel,26,Calendar dispute authority,unknown,c. 114,Judea,Judean,Rabbinic Law and Leadership,Jewish Nasi of the Sanhedrin who centralized religious authority at Yavneh and formalized the Amidah prayer after the Second Temple's destruction.,,
Rabban Yochanan ben Zakkai,26,Re-founded post-Temple Sanhedrin at Yavneh | Sanhedrin in Yavneh,c. 30 BCE,c. 90 CE,Judea,Judean,Rabbinic Law and Theology,Jewish sage who transformed Judaism into a Rabbinic tradition by establishing the academy at Yavneh after the Second Temple's destruction.,,
Rabbi Akiva,26,Calendar dispute advice,c. 50,c. 135,Judea,Judean,Rabbinic Law and Theology,Judean sage who established hermeneutic methodology and was a central contributor to the \emph{Mishnah} and \emph{Midrash Halakha}.,,
Rabbi Dosa ben Hurkinos,26,Calendar dispute witness rejection,unknown,unknown,Judea,Judean,Rabbinics / Jewish Law,Jewish Tanna of the \emph{Mishnah} who urged Rabbi Yehoshua to accept Rabban Gamliel's decree to maintain unity.,,
Rabbi Eliezer ben Hyrcanus,26 | 36,Oven of Akhnai dispute,c. 40 CE,c. 120 CE,Judea,Judean,Rabbinic Law (Halakha),Tannaitic sage who is central to the ``Oven of Akhnai'' narrative establishing that legal authority rests with consensus.,,
Rabbi Herzog,26,Date line during Holocaust,1888,1959,"Łomża, Poland (Russian Empire)",Israeli (formerly Irish),Rabbinics and Jewish Leadership,Irish-Israeli religious leader who served as the Ashkenazi Chief Rabbi of Israel and resolved the International Date Line dispute.,,
Rabbi Isaac Luria (Ha'ari),26,Founder of Lurianic Kabbalah,1534,1572,"Jerusalem, Ottoman Empire",Sephardic Jewish (Ottoman Palestine),Kabbalah (Jewish Mysticism),"Sephardic Jewish mystic who founded Lurianic Kabbalah in Safed, transforming post-medieval Jewish thought.",,
Rabbi Yehoshua,26,Calendar dispute compliance,c. 40 CE,c. 130 CE,Judea,Judean,Halakha (Jewish Law) and Philosophy,Jewish Tanna who served in the Second Temple and established the supremacy of the rabbinic court over astronomical observation.,,
Rabbi Yisrael Lipschitz,26,Polar day halakha,1782,1860,"Rothenburg, Germany (Prussia)",German (Prussian),Rabbinic Literature / Halakha,German rabbi who authored the \emph{Tiferet Yisrael} commentary on the Mishnah and served as Chief Rabbi of Danzig.,,
Rafał Latała,33,Clarified and exposit Royen's proof | Clarified Royen's proof | Verified Royen's proof,1971,living,"Warsaw, Poland",Polish,Mathematics (Probability Theory),Polish mathematician who collaborated to verify the Gaussian Correlation Inequality by providing a streamlined exposition of Royen's proof.,,
Ralph Fowler,10,Contributed to early models of stellar fusion | Stellar fusion theory,1889,1944,"Roydon, Essex, England",British,Theoretical Physics / Astrophysics,"British physicist who applied Fermi-Dirac statistics to white dwarf stars, explaining their stability through electron degeneracy pressure.",,
Raphael Dubois,25,Identified luciferin–luciferase system | Luciferin-luciferase system | Early studies on luciferin–luciferase,1849,1929,"Le Mans, France",French,Physiology and Pharmacology,French physiologist who established the biochemical mechanisms of bioluminescence and coined the terms ``luciferin'' and ``luciferase.'',,
Raymond Davis Jr.,10,Homestake neutrino experiment,1914,2006,"Washington, D.C., USA",American,Physics / Chemistry,"American chemist and physicist who detected solar neutrinos, establishing the ``solar neutrino problem'' and sharing the 2002 Nobel Prize.",2002,Physics
René Descartes,50,Formulated cogito and dualist view of mind,1596,1650,"La Haye en Touraine (now Descartes), France",French,Philosophy and Mathematics,"French philosopher and mathematician who formulated ``Cogito, ergo sum'' and developed the Cartesian coordinate system uniting geometry and algebra.",,
Richard Dedekind,03,Formalized real numbers via Dedekind cuts | Formalized real numbers via cuts,1831,1916,"Braunschweig, Duchy of Brunswick (now Germany)",German,Mathematics,German mathematician who formalized real numbers via ``Dedekind cuts'' and introduced ideals to algebraic number theory.,,
Richard Duda,41,Co-formalized digital Hough transform | Hough Transform formalization | Generalized Hough transform,unknown,living,"Evanston, Illinois, USA",American,Computer Science and Electrical Engineering,"American computer scientist who introduced the $(\rho, \theta)$ parameterization for the Hough transform and co-authored \emph{Pattern Classification and Scene Analysis}.",,
Richard Gott,34,Turing test for Boltzmann Brains | Proposed Copernican argument against Boltzmann brains,1947,living,"Louisville, Kentucky, USA",American,Astrophysics,American astrophysicist who demonstrated how cosmic strings theoretically allow time travel and formulated the statistical ``Doomsday argument.'',,
Richard Nixon,21,Quote on inflation (derivative),1913,1994,"Yorba Linda, California, USA",American,Politics / Government,American politician who served as the 37th U.S. president and normalized relations with China before resigning amidst the Watergate scandal.,,
Richard P. Feynman,04 | 36 | 13,Author of Feynman Lectures | modern exposition of EM fields | Developed path integral and QFT techniques | Reference to Feynman Lectures | QED / Path integrals,1918,1988,"Queens, New York, USA",American,Theoretical Physics,American theoretical physicist who developed the path integral formulation and received the 1965 Nobel Prize in Physics.,1965,Physics
Roald Hoffmann,46,Co-formulated orbital symmetry rules | Nobel laureate | Woodward-Hoffmann rules,1937,living,"Złoczów, Poland (now Zolochiv, Ukraine)",Polish-American,Theoretical Chemistry,American theoretical chemist who shared the 1981 Nobel Prize for co-formulating the Woodward-Hoffmann rules regarding pericyclic reactions.,1981,Chemistry
Robert Ammann,29,Aperiodic tilings,1946,1994,"Massachusetts, USA",American,Mathematics (Geometry),"American amateur mathematician who made independent discoveries in aperiodic tilings, including ``Ammann bars'' and the Ammann--Beenker tiling.",,
Robert Atkinson,10,Early work on stellar nuclear fusion mechanisms | Stellar fusion theory,1898,1982,"Rhayader, Wales",British,Astrophysics,"British physicist and astronomer who, with Fritz Houtermans, applied quantum tunneling to explain stellar thermonuclear fusion.",,
Robert B. Leighton,04,Coauthor of Feynman Lectures on Physics,1919,1997,"Detroit, Michigan, USA",American,Physics and Astrophysics,"American physicist who co-authored \emph{The Feynman Lectures on Physics}, discovered solar oscillations, and led Mariner imaging teams.",,
Robert Berger,29,Constructed first aperiodic tile set | First aperiodic tile set | Found first aperiodic tile set,unknown,unknown,unknown,American,Applied Mathematics / Electrical Engineering,American mathematician who proved the undecidability of the Domino Problem in 1964 by constructing the first aperiodic Wang tiles.,,
Robert Boyle,28,Gas laws,1627,1691,"Lismore, Ireland",Anglo-Irish,Natural Philosophy / Chemistry,Anglo-Irish natural philosopher who wrote \emph{The Sceptical Chymist} and formulated Boyle's Law describing gas pressure and volume.,,
Robert Burns Woodward,46,Co-formulated orbital symmetry rules for pericyclic reactions | Woodward-Hoffmann rules | Co-formulated orbital symmetry rules,1917,1979,"Boston, Massachusetts, USA",American,Organic Chemistry,American organic chemist who received the Nobel Prize for synthesizing complex natural products and developed the Woodward-Hoffmann rules.,1965,Chemistry
Robert Pound,06 | 28,Co-performed Pound–Rebka gravitational redshift experiment | Gravitational redshift experiment (Pound-Rebka) | Nuclear spin population inversion | Co-demonstrated negative-temperature nuclear spin systems,1919,2010,"Ridgeway, Ontario, Canada",American (Canadian-born),Experimental Physics,"American physicist who provided the first precise terrestrial confirmation of gravitational redshift using the M\""ossbauer effect.",,
Robert Tomasulo,18,Tomasulo's algorithm,1934,2008,"Staten Island, New York, USA",American,Computer Architecture,"American computer architect who invented Tomasulo's algorithm, a dynamic scheduling technique enabling out-of-order execution in high-performance processors.",,
Robert Wilson,43,Codiscovered cosmic microwave background | CMB discovery | Discovered CMB,1936,living,"Houston, Texas, USA",American,Radio Astronomy,"American radio astronomer who co-discovered the cosmic microwave background radiation in 1964, providing critical evidence for the Big Bang.",1978,Physics
Robin Houston,39,Disproved factorial-sum superpermutation conjecture | Disproved superpermutation conjecture | Disproved minimal superpermutation conjecture,unknown,living,United Kingdom,British,Mathematics and Computer Science,British mathematician and computer scientist who disproved the superpermutation conjecture and solved the sum of three cubes problem for 42.,,
Roger Penrose,29 | 34 | 23,Introduced two-tile aperiodic Penrose tilings | Singularity theorems / Penrose diagrams | Penrose tiles | Proved singularity theorems | formulated cosmic censorship | Discovered Penrose aperiodic tiling,1931,living,"Colchester, England",British,Mathematical Physics,British mathematical physicist who proved that black hole formation is a robust prediction of the general theory of relativity.,2020,Physics
Rolf Landauer,45,Formulated Landauer’s principle for erasure cost | Information erasure cost | Formulated Landauer’s principle (erasure cost),1927,1999,"Stuttgart, Germany",American,Theoretical Physics,"German-American physicist who formulated Landauer's principle, demonstrating that the logical irreversibility of erasing information generates heat.",,
Ron Holzman,09,Lonely Runner Conjecture / Game theory course,unknown,living,unknown,Israeli,Mathematics (Combinatorics and Game Theory),"Israeli mathematician who specializes in combinatorics and social choice, and co-proved the six-runner case of the Lonely Runner Conjecture.",,
Ronald H. Coase,30,Quote on torturing data,1910,2013,"Willesden, England",British,Economics,British economist who received the Nobel Prize for introducing transaction costs and formulating the Coase Theorem.,1991,Economics
Roy Kerr,23,Discovered rotating black hole solution | Kerr metric / Quora posts | Discovered rotating black hole metric,1934,living,"Kurow, New Zealand",New Zealander,Theoretical Physics / Mathematics,"New Zealand mathematician who discovered the Kerr metric, an exact solution to Einstein's field equations for rotating black holes.",,
Rudolf Clausius,45 | 28,Introduced entropy and second law | Entropy definition | Formulated entropy and second law,1822,1888,"Köslin, Pomerania (now Koszalin, Poland)",German,Theoretical Physics / Thermodynamics,German physicist and mathematician who formulated the Second Law of Thermodynamics and introduced the concept of ``entropy.'',,
S. S. Wainer,17,Coauthored foundational work on hierarchies of functions,unknown,2021,United Kingdom,British,Mathematical Logic (Proof Theory),British mathematical logician who developed the Wainer hierarchy to classify computable functions by growth rate using ordinal numbers.,,
Saadia Gaon,26,Calendar controversy (opposed Ben Meir) | Defended Babylonian calendar authority,c. 882,942,"Dilbat (Fayyum), Egypt",Abbasid (Jewish),"Jewish Philosophy, Halakha, and Linguistics","Babylonian Jewish Gaon who pioneered Hebrew philology and authored \emph{The Book of Beliefs and Opinions}, the first systematic synthesis of Jewish philosophy.",,
